transaction_id,fir_id,criminal_id,from_account,to_account,amount,transaction_type,suspicious
TR0000001,FIR004579,CR02827,AC6466401844,AC6662583813,146200.52,RTGS,False
TR0000002,FIR007425,CR01243,AC5976225162,AC7417085225,419724.29,IMPS,True
TR0000003,FIR005529,CR02228,AC6382886133,AC7825590735,68477.28,NEFT,False
TR0000004,FIR001568,CR00003,AC2591424296,AC5663565969,74936.8,UPI,False
TR0000005,FIR006273,CR01820,AC5896111053,AC7521451329,11699.24,IMPS,False
TR0000006,FIR001739,CR01554,AC7417374677,AC4182929531,218460.78,IMPS,False
TR0000007,FIR003580,CR01972,AC8801954203,AC2725589614,88794.63,Cash,False
TR0000008,FIR001823,CR01584,AC8638860823,AC1997403624,223479.88,IMPS,False
TR0000009,FIR008077,CR01450,AC6935978096,AC4778647142,95124.71,UPI,False
TR0000010,FIR006739,CR01739,AC8768566444,AC6166110943,200436.0,NEFT,False
TR0000011,FIR008811,CR01181,AC2708508332,AC9939621217,68041.57,Cash,False
TR0000012,FIR003602,CR02948,AC8828231260,AC4314099183,318969.04,Cash,True
TR0000013,FIR004368,CR00388,AC7348877202,AC5144377656,317553.44,NEFT,True
TR0000014,FIR008249,CR00678,AC8476790330,AC5394755351,39353.64,UPI,False
TR0000015,FIR000195,CR01155,AC6376925696,AC8155933664,487613.56,IMPS,True
TR0000016,FIR008073,CR00243,AC5517456713,AC7809072042,168357.78,RTGS,False
TR0000017,FIR008079,CR02626,AC6206212760,AC1363993338,123434.41,NEFT,False
TR0000018,FIR006733,CR01950,AC9072978781,AC2392504440,474905.5,Cash,True
TR0000019,FIR008291,CR02371,AC4715619804,AC6436313412,286901.75,RTGS,True
TR0000020,FIR004590,CR02373,AC6757448370,AC4041191279,3191.8,NEFT,False
TR0000021,FIR007511,CR02849,AC1053256903,AC8456713301,238146.33,UPI,False
TR0000022,FIR006672,CR00348,AC5481293059,AC8951280698,161792.42,IMPS,False
TR0000023,FIR005239,CR00229,AC3869544238,AC1569445500,428210.47,Cash,True
TR0000024,FIR009772,CR01123,AC6313921470,AC7395147377,365005.06,IMPS,True
TR0000025,FIR003015,CR01229,AC2087578575,AC7973385860,179205.68,RTGS,False
TR0000026,FIR007738,CR00879,AC9853788295,AC6638155802,106404.03,Cash,False
TR0000027,FIR009102,CR02576,AC8256164299,AC8737529163,41270.01,UPI,False
TR0000028,FIR001601,CR00589,AC7109452965,AC2694202645,211645.45,RTGS,False
TR0000029,FIR005734,CR02665,AC2856540026,AC9664518995,423220.77,UPI,True
TR0000030,FIR001868,CR02933,AC5073343334,AC3300755191,127725.74,RTGS,False
TR0000031,FIR003998,CR00117,AC4268551524,AC1008095786,360221.51,Cash,True
TR0000032,FIR000367,CR02519,AC3023659789,AC8396085372,334789.82,Cash,True
TR0000033,FIR004760,CR02682,AC8240989786,AC2573371450,12729.39,UPI,False
TR0000034,FIR005272,CR01231,AC6108002260,AC5671415525,16241.47,NEFT,False
TR0000035,FIR005639,CR00271,AC1521556515,AC9843993085,240198.27,RTGS,False
TR0000036,FIR002954,CR00879,AC1235263846,AC4718928739,120887.67,IMPS,False
TR0000037,FIR006382,CR02273,AC6106246264,AC9473703517,490582.07,UPI,True
TR0000038,FIR005234,CR02002,AC2794245848,AC9257740324,439777.29,Cash,True
TR0000039,FIR008579,CR02487,AC7498078817,AC9576752356,133610.55,NEFT,False
TR0000040,FIR007360,CR00661,AC2645203427,AC7591612789,378366.46,IMPS,True
TR0000041,FIR006320,CR01306,AC3410401208,AC8520354545,65366.0,RTGS,False
TR0000042,FIR006021,CR01822,AC1641249434,AC5388442580,397704.62,NEFT,True
TR0000043,FIR000140,CR02841,AC3249712281,AC2003483421,405284.18,NEFT,True
TR0000044,FIR005095,CR02091,AC5734782899,AC5791345049,476927.52,UPI,True
TR0000045,FIR007790,CR01743,AC8364984686,AC7056402180,301386.97,NEFT,True
TR0000046,FIR009888,CR00707,AC2305354919,AC7642113151,95212.99,UPI,False
TR0000047,FIR009231,CR00162,AC1332718823,AC2480968808,222385.57,RTGS,False
TR0000048,FIR006422,CR02115,AC6844884371,AC9580748494,218348.25,Cash,False
TR0000049,FIR001251,CR02135,AC7262515791,AC1765348545,184112.75,Cash,False
TR0000050,FIR006724,CR01558,AC4546944641,AC9249186180,485045.41,IMPS,True
TR0000051,FIR004753,CR01147,AC9308404138,AC6205176145,438669.11,UPI,True
TR0000052,FIR000606,CR00541,AC1794683627,AC7345544996,457143.87,UPI,True
TR0000053,FIR007929,CR01419,AC2115586946,AC7102884174,239517.08,UPI,False
TR0000054,FIR002961,CR02082,AC6090745294,AC2556675156,240585.33,RTGS,False
TR0000055,FIR006569,CR02083,AC7478145973,AC1095698201,175127.35,IMPS,False
TR0000056,FIR006682,CR02938,AC5265661808,AC3626580941,91142.74,UPI,False
TR0000057,FIR000242,CR02288,AC1240773728,AC2625462369,465405.88,IMPS,True
TR0000058,FIR006667,CR01701,AC9645844174,AC3501972817,340409.29,Cash,True
TR0000059,FIR004313,CR01875,AC6356417479,AC5451363694,359621.42,UPI,True
TR0000060,FIR005799,CR02054,AC8803333717,AC3088398649,226585.82,NEFT,False
TR0000061,FIR005228,CR02792,AC9826108318,AC1186146421,130279.53,RTGS,False
TR0000062,FIR003288,CR02221,AC7318463853,AC1775883172,126452.12,RTGS,False
