victim_id,name,age,gender,occupation,education,income,district,police_station,phone,address
VI00001,Theodore Johal,46,Male,Teacher,Primary,637688,Chitradurga,Chitradurga Rural,5632245182,"61/92, Dhillon Zila, Tezpur 486978"
VI00002,Vasatika Tripathi,56,Male,Doctor,Primary,882129,Raichur,Raichur Town,9631963052,"H.No. 36, Goswami, Sri Ganganagar-642301"
VI00003,Vasudha Manda,70,Female,Driver,Secondary,417840,Chamarajanagar,Chamarajanagar East,09017631919,"08, Pal Path, Munger-622306"
VI00004,Ijaya Sahni,40,Female,Business,Primary,699382,Dharwad,Dharwad Town,03577569429,"H.No. 400, Dutta Ganj, Kurnool 324827"
VI00005,Lakshmi Jhaveri,28,Male,Farmer,Post Graduate,223086,Belagavi,Market,5235611882,"06/95, Sachar Circle, Jabalpur 311128"
VI00006,Unnati Sundaram,40,Female,Electrician,Secondary,165357,Ramanagara,Ramanagara East,0366663694,"13/26, Varma Path, Naihati-337902"
VI00007,Azaan Kar,22,Male,Driver,Graduate,720658,Chikkamagaluru,Chikkamagaluru Rural,05353132452,"71, Oommen, Kulti-568780"
VI00008,Ekalinga Dass,31,Male,Teacher,PUC,653731,Bengaluru Rural,Bengaluru Rural East,6524948918,"98/388, Agrawal Street, Khammam 497776"
VI00009,Gaurav Korpal,59,Male,Driver,Post Graduate,1162339,Udupi,Udupi East,01657652822,"54/90, Mody Street, Amaravati-345776"
VI00010,Faraj Khanna,37,Male,Police,Secondary,452405,Raichur,Raichur East,8655009159,"78/323, Patla, Yamunanagar 194127"
VI00011,Ojasvi Rajagopal,52,Female,Driver,Post Graduate,1145453,Shivamogga,Shivamogga Rural,+918536087807,"20/338, Chaudhry Circle, Sangli-Miraj & Kupwad-996676"
VI00012,Saanvi Gade,34,Female,Student,Secondary,522152,Bengaluru Urban,Madiwala,+913734483656,"19, Palan Nagar, Anantapur-439677"
VI00013,Eesha Lad,49,Female,Business,Secondary,757361,Davanagere,Davanagere Town,07393164909,"88, Khosla Chowk, Raichur 810253"
VI00014,Laban Goda,62,Male,Business,Graduate,359041,Bagalkot,Bagalkot Rural,06254780095,"H.No. 146, Mutti Zila, Ahmedabad 019007"
VI00015,Zilmil Toor,57,Male,Driver,Secondary,790635,Bengaluru Rural,Bengaluru Rural East,04673474369,"94/13, Wali Zila, Ramgarh-718321"
VI00016,Agastya Palla,45,Male,Unemployed,Graduate,601123,Dharwad,Dharwad East,02842511190,"40/94, Mandal Street, Bokaro-979990"
VI00017,Liam Koshy,18,Male,Labour,Graduate,1090888,Ballari,Ballari Rural,8767660628,"403, Singhal, Deoghar 443081"
VI00018,Nikita Khare,28,Male,Business,Primary,216684,Raichur,Raichur East,+919397026638,"15, Buch Road, Kochi-311786"
VI00019,Harita Sarma,67,Male,Mechanic,Graduate,434252,Koppal,Koppal Rural,06771928892,"H.No. 287, Sarma Path, Visakhapatnam 892303"
VI00020,Agastya Radhakrishnan,41,Male,Mechanic,Post Graduate,215383,Belagavi,Market,07871924972,"H.No. 71, Ravel Ganj, Gangtok-745145"
VI00021,Sneha Parekh,47,Female,Doctor,PUC,212967,Bagalkot,Bagalkot Rural,+915744882526,"51/11, Sant Path, Kulti 851576"
VI00022,Osha Talwar,49,Male,Business,PUC,175845,Ballari,Ballari Town,+915068098383,"H.No. 65, Goel Nagar, Imphal 034563"
VI00023,Samuel Zachariah,31,Female,Farmer,Secondary,222576,Bagalkot,Bagalkot Rural,2349524570,"H.No. 57, Deol Circle, Nellore 324271"
VI00024,Imaran Vohra,28,Male,Farmer,Primary,578225,Mandya,Mandya Rural,6286974762,"H.No. 385, Singh Road, Udaipur-819319"
VI00025,Praneel Mand,54,Male,Unemployed,Post Graduate,1141143,Kodagu,Kodagu Rural,+912328062539,"54/55, Bhatt Road, Ratlam 140035"
VI00026,Umang Bala,59,Female,Electrician,Secondary,539310,Vijayapura,Vijayapura Town,+912826735490,"86/57, Sandhu Zila, Kolhapur 325086"
VI00027,Nikita Yadav,69,Female,Software Engineer,PUC,1004616,Bengaluru Rural,Bengaluru Rural Town,06434760882,"25/87, Verma Street, Tenali-363163"
VI00028,Amol Memon,49,Male,Doctor,Secondary,293450,Tumakuru,Tumakuru Town,00172628033,"08/47, Buch Road, Bhiwani-430310"
VI00029,Lipika Sabharwal,47,Female,Teacher,Secondary,1003671,Haveri,Haveri Town,+916622845541,"57/96, Gaba Street, Aurangabad 084861"
VI00030,Lavanya Sachdeva,70,Male,Teacher,PUC,426288,Ballari,Ballari Town,0026046901,"53/89, Raghavan Zila, Bijapur-106678"
