criminal_id,name,age,gender,occupation,gang,previous_cases,risk_score,phone,district,police_station
CR00001,Aryan Maharaj,32,Male,Labour,Cyber Ring,13,100,+913218196001,Dharwad,Dharwad Rural
CR00002,Viraj Tiwari,27,Male,Police,None,2,49,0838637940,Uttara Kannada,Uttara Kannada Town
CR00003,Pahal Oak,47,Female,Labour,Highway Gang,2,56,02351161559,Dharwad,Dharwad East
CR00004,Caleb Sharaf,59,Female,Farmer,Cyber Ring,3,73,1618495931,Shivamogga,Shivamogga Rural
CR00005,Vedant Mann,64,Female,Labour,South Syndicate,13,100,+913164752553,Hassan,Hassan Town
CR00006,Ekbal Garg,50,Male,Business,East Crew,3,75,3276483503,Udupi,Udupi East
CR00007,Diya Rattan,18,Female,Electrician,Cyber Ring,5,80,01395376724,Yadgir,Yadgir East
CR00008,Yatin Yohannan,33,Male,Student,East Crew,3,66,09696532871,Vijayapura,Vijayapura Rural
CR00009,Imaran Dua,52,Male,Business,Highway Gang,2,71,2691669784,Udupi,Udupi Town
CR00010,Ishwar Yadav,45,Male,Labour,East Crew,5,86,05146270482,Kalaburagi,Kalaburagi East
CR00011,Chanchal Tripathi,46,Female,Farmer,Highway Gang,9,100,3252880957,Mysuru,Lashkar
CR00012,Isaac Patil,55,Male,Doctor,None,7,83,03039117182,Dakshina Kannada,Pandeshwar
CR00013,Vaishnavi Gandhi,21,Male,Farmer,None,0,21,08963834657,Raichur,Raichur East
CR00014,Jai Kota,35,Female,Student,None,10,100,+911509839301,Kalaburagi,Kalaburagi Town
CR00015,Veer Bir,44,Male,Farmer,South Syndicate,15,100,+915183473829,Tumakuru,Tumakuru Rural
CR00016,Xavier Solanki,47,Male,Police,East Crew,13,100,03116566701,Gadag,Gadag Rural
CR00017,Neha Nori,24,Male,Student,Highway Gang,1,54,+913338726247,Ramanagara,Ramanagara Rural
CR00018,Faqid Savant,35,Female,Student,South Syndicate,14,100,1080132677,Gadag,Gadag Town
CR00019,Nandini Bhargava,59,Male,Farmer,Cyber Ring,14,100,+916064746872,Bengaluru Rural,Bengaluru Rural Town
CR00020,Chaman Kalla,31,Female,Driver,Highway Gang,5,85,+919805009788,Haveri,Haveri Rural
CR00021,Dakshesh Trivedi,47,Female,Mechanic,None,12,100,+912191361939,Dharwad,Dharwad Rural
CR00022,Finn Saini,21,Male,Unemployed,South Syndicate,4,82,9985435346,Chitradurga,Chitradurga Town
CR00023,Charita Shankar,50,Male,Driver,None,1,30,01079911838,Kolar,Kolar Rural
CR00024,Kevin Palla,61,Male,Mechanic,None,5,63,+913542784980,Koppal,Koppal Town
CR00025,Hemang Desai,57,Male,Mechanic,Cyber Ring,7,100,01182449353,Koppal,Koppal Town
CR00026,Yashasvi Suresh,33,Female,Mechanic,South Syndicate,8,100,00164005242,Mysuru,Lashkar
CR00027,Prisha Andra,18,Female,Doctor,Highway Gang,9,100,+911280598262,Dakshina Kannada,Pandeshwar
CR00028,Darika Patla,34,Male,Software Engineer,Cyber Ring,2,58,+915331586923,Chamarajanagar,Chamarajanagar East
CR00029,Peter Sachar,46,Female,Doctor,East Crew,7,96,+912563421607,Chitradurga,Chitradurga Town
CR00030,Ryan Sharma,34,Male,Farmer,None,9,96,04330365414,Yadgir,Yadgir Town
CR00031,Yashodhara Ratta,63,Female,Student,East Crew,8,100,8501429401,Koppal,Koppal Town
CR00032,Hemani Murthy,23,Female,Teacher,East Crew,15,100,09816934060,Vijayapura,Vijayapura Town
CR00033,Januja Sankar,58,Female,Business,East Crew,0,54,+915951484656,Shivamogga,Shivamogga Town
